timestamp,user_id,protocol,src_port,dst_port,length
2025-06-25 16:45:00+06:00,32,TCP (ACK),50858,443,52
2025-06-25 16:45:00+06:00,159,TCP (ACK),42654,443,52
2025-06-25 16:45:00+06:00,198,UDP,40910,443,140
2025-06-25 16:45:00+06:00,88,TCP (ACK),40320,443,52
2025-06-25 16:45:00+06:00,88,TCP (ACK),40320,443,52
2025-06-25 16:45:00+06:00,250,UDP,49450,3478,1068
2025-06-25 16:45:00+06:00,150,TCP (ACK),52712,443,76
2025-06-25 16:45:00+06:00,225,UDP,38786,443,64
2025-06-25 16:45:00+06:00,269,UDP,40054,10015,85
2025-06-25 16:45:00+06:00,68,UDP,38343,443,63
2025-06-25 16:45:00+06:00,213,TCP (ACK),41280,443,1432
2025-06-25 16:45:00+06:00,221,UDP,58122,443,57
2025-06-25 16:45:00+06:00,253,TCP (ACK),60926,443,52
2025-06-25 16:45:00+06:00,231,TCP (ACK),45866,443,52
2025-06-25 16:45:00+06:00,212,UDP,53405,443,62
2025-06-25 16:45:00+06:00,213,TCP (ACK),41280,443,1432
2025-06-25 16:45:00+06:00,115,UDP,56320,443,140
2025-06-25 16:45:00+06:00,19,TCP (ACK),47342,443,40
2025-06-25 16:45:00+06:00,231,TCP (ACK),45866,443,52
2025-06-25 16:45:00+06:00,265,UDP,56791,443,61
2025-06-25 16:45:00+06:00,237,TCP (ACK),54920,443,1440
2025-06-25 16:45:00+06:00,237,"TCP (ACK,PSH)",54920,443,715
2025-06-25 16:45:00+06:00,104,UDP,53376,443,61
2025-06-25 16:45:00+06:00,97,UDP,37876,443,64
2025-06-25 16:45:00+06:00,50,UDP,10841,36105,59
2025-06-25 16:45:00+06:00,214,TCP (ACK),45066,443,52
2025-06-25 16:45:00+06:00,194,TCP (ACK),36430,443,52
2025-06-25 16:45:00+06:00,259,"TCP (ACK,FIN)",58674,15101,52
2025-06-25 16:45:00+06:00,110,UDP,36932,443,63
2025-06-25 16:45:00+06:00,160,UDP,45517,443,60
2025-06-25 16:45:00+06:00,253,TCP (ACK),60926,443,52
2025-06-25 16:45:00+06:00,63,UDP,55105,443,61
2025-06-25 16:45:00+06:00,76,UDP,58124,443,972
2025-06-25 16:45:00+06:00,164,UDP,38951,5521,30
2025-06-25 16:45:00+06:00,158,UDP,55429,443,61
2025-06-25 16:45:00+06:00,45,UDP,37351,443,62
2025-06-25 16:45:00+06:00,138,TCP (ACK),51498,80,40
2025-06-25 16:45:00+06:00,100,UDP,49649,443,63
2025-06-25 16:45:00+06:00,198,UDP,40910,443,108
2025-06-25 16:45:00+06:00,71,UDP,44312,443,57
2025-06-25 16:45:00+06:00,155,UDP,47870,443,74
2025-06-25 16:45:00+06:00,128,TCP (ACK),47528,443,52
2025-06-25 16:45:00+06:00,41,UDP,41685,3478,48
2025-06-25 16:45:00+06:00,151,UDP,39514,32493,1087
2025-06-25 16:45:00+06:00,152,"TCP (ACK,PSH)",37764,443,145
2025-06-25 16:45:00+06:00,34,TCP (ACK),53936,443,1432
2025-06-25 16:45:00+06:00,100,UDP,49649,443,59
2025-06-25 16:45:00+06:00,231,TCP (ACK),45866,443,52
2025-06-25 16:45:00+06:00,76,UDP,58124,443,940
2025-06-25 16:45:00+06:00,154,"TCP (ACK,PSH)",47178,443,253
2025-06-25 16:45:00+06:00,95,TCP (ACK),47536,443,52
2025-06-25 16:45:00+06:00,25,TCP (ACK),52980,799,52
2025-06-25 16:45:00+06:00,25,"TCP (ACK,PSH)",52980,799,87
2025-06-25 16:45:00+06:00,16,UDP,33368,443,61
2025-06-25 16:45:00+06:00,194,TCP (ACK),36430,443,52
2025-06-25 16:45:00+06:00,73,UDP,47320,443,108
2025-06-25 16:45:00+06:00,132,TCP (ACK),49680,443,40
2025-06-25 16:45:00+06:00,234,UDP,46949,443,61
2025-06-25 16:45:00+06:00,34,TCP (ACK),53936,443,1432
2025-06-25 16:45:00+06:00,152,TCP (ACK),37764,443,1076
2025-06-25 16:45:00+06:00,34,"TCP (ACK,PSH)",53936,443,1432
2025-06-25 16:45:00+06:00,154,"TCP (ACK,PSH)",47178,443,91
2025-06-25 16:45:00+06:00,12,UDP,39686,443,140
2025-06-25 16:45:00+06:00,154,"TCP (ACK,PSH)",47178,443,253
